source_id,display_name,first_name,surname1,surname2,birth_date,country_id,country_name,broad_position,team_id,team_name,origin,source,overall,attribute_source,profile_review_required,historical_position_1993_94,historical_club_1994,historical_birth_place_text,individual_profile_source,individual_profile_source_url,duplicate_check,matched_existing_id,asset_filename,bdfutbol_id,bdfutbol_url,bdfutbol_search_name,photo_status,creation_batch,identity_source,identity_source_url,verified_national_pool_year,profile_review_batch,profile_confidence,world_cup_1994_team_code,world_cup_1994_shirt_number,photo_filename,historical_nationality_text,country_id_status,source_profile_position,photo_width,photo_height,photo_format,photo_mode,photo_source,photo_source_url,profile_source_note,name_transliterations,historical_birth_year_only,historical_birth_state,birth_territory_country_id,citizenship_1993_resolution,represented_selection_country_ids,attribute_comparable_source_ids,attribute_comparable_repair_reason
2565,Johnny Mølby,Johnny,Mølby,,1969-02-04,33,Dinamarca,MED,459,KV Mechelen,historical_belgium_1993_94,BDFutbol/Transfermarkt KV Mechelen deep v0.43,68,fixed_source_comparable_role_correction_0.42,True,Midfielder (exact role unresolved),KV Mechelen,Kolding,BDFutbol individual profile + targeted specialist cross-check v0.43,https://www.bdfutbol.com/en/j/j80115.html,exact_name_birthdate_source_profile_gate_v043,,2565.jpg,80115,https://www.bdfutbol.com/en/j/j80115.html,Johnny Mølby,ready_for_download,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777,Jahn Ivar Jakobsen,Jahn Ivar,Jakobsen,,1965-11-08,60,Noruega,DEL,851,Lierse,historical_belgium_1993_94,BDFutbol/Transfermarkt Lierse deep v0.43,75,fixed_source_comparable_role_correction_0.42,True,Forward (exact role unresolved),Lierse,Gravdal,BDFutbol individual profile + targeted specialist cross-check v0.43,https://www.bdfutbol.com/en/j/j80154.html,exact_name_birthdate_source_profile_gate_v043,,2777.jpg,80154,https://www.bdfutbol.com/en/j/j80154.html,Jahn Ivar Jakobsen,ready_for_download,,,,,,,,,,,,,,,,,,,,,,,,,,,
2830,Michel Georges Jean Ghislain Preud'homme,Michel Georges Jean Ghislain,Preud'homme,,1959-01-24,17,Bélgica,POR,459,KV Mechelen,historical_belgium_1993_94,BDFutbol/Transfermarkt KV Mechelen deep v0.43,84,,False,Goalkeeper,KV Mechelen,Seraing,BDFutbol individual profile + targeted specialist cross-check v0.43,https://www.bdfutbol.com/en/j/j79265.html,exact_name_birthdate_source_profile_gate_v043,,2830.jpg,79265,https://www.bdfutbol.com/en/j/j79265.html,Michel Georges Jean Ghislain Preud'homme,ready_for_download,,,,,,,,,,,,,,,,,,,,,,,,,,,
6792,Frank Berghuis,Frank,Berghuis,,1967-05-02,3,Holanda,DEL,9352004,Lommel,historical_belgium_1993_94,BDFutbol/Transfermarkt Lommel deep v0.42,76,fixed_source_comparable_role_correction_0.42,False,Left Attacking Midfielder,Lommel,Nunspeet,BDFutbol individual profile + targeted specialist cross-check v0.42,https://www.bdfutbol.com/en/j/j41864.html,exact_name_birthdate_source_profile_gate_v042,,6792.jpg,41864,https://www.bdfutbol.com/en/j/j41864.html,Frank Berghuis,ready_for_download,,,,,,,,,,,,,,,,,,,,,,,,,,,
9494000,Óscar Córdoba,Óscar,Córdoba,,1970-02-03,26,Colombia,POR,9400026,Otros-Colombia,,,79,fixed_source_comparable_review_0.23,False,,,,,,created_after_global_existing_player_comparison,,,67962,https://www.bdfutbol.com/en/j/j67962.html,Óscar Córdoba,ready_for_download,world_cup_1994,Fjelstul World Cup Database,,,created_player_profile_audit_0.23,high,COL,1,9494000.jpg,,,,,,,,,,,,,,,,,,
9494001,Andrés Escobar,Andrés,Escobar,,1967-03-13,26,Colombia,DEF,9400026,Otros-Colombia,,,81,fixed_source_comparable_review_0.23,False,,,,,,created_after_global_existing_player_comparison,,,52176,https://www.bdfutbol.com/en/j/j52176.html,Andrés Escobar,ready_for_download,world_cup_1994,Fjelstul World Cup Database,,,created_player_profile_audit_0.23,high,COL,2,9494001.jpg,,,,,,,,,,,,,,,,,,
9494002,Alexis Mendoza,Alexis,Mendoza,,1961-11-08,26,Colombia,DEF,9400026,Otros-Colombia,,,77,fixed_source_comparable_review_0.23,False,,,,,,created_after_global_existing_player_comparison,,,,https://www.bdfutbol.com/es/c/jugador.html?id=179925,Alexis Mendoza,bundled_normalized_bdfutbol,world_cup_1994,Fjelstul World Cup Database,,,created_player_profile_audit_0.23,high,COL,3,9494002.jpg,,,,,,,,,,,,,,,,,,
9494003,Luis Fernando Herrera,Luis Fernando,Herrera,,1962-06-12,26,Colombia,DEF,9400026,Otros-Colombia,,,78,fixed_source_comparable_review_0.23,False,,,,,,created_after_global_existing_player_comparison,,,52174,https://www.bdfutbol.com/en/j/j52174.html,Luis Fernando Herrera,ready_for_download,world_cup_1994,Fjelstul World Cup Database,,,created_player_profile_audit_0.23,high,COL,4,9494003.jpg,,,,,,,,,,,,,,,,,,
9494004,Hermán Gaviria,Hermán,Gaviria,,1969-11-27,26,Colombia,MED,9400026,Otros-Colombia,,,76,fixed_source_comparable_review_0.23,False,,,,,,created_after_global_existing_player_comparison,,,,https://www.bdfutbol.com/es/c/jugador.html?id=177605,Hermán Gaviria,bundled_normalized_bdfutbol,world_cup_1994,Fjelstul World Cup Database,,,created_player_profile_audit_0.23,high,COL,5,9494004.jpg,,,,,,,,,,,,,,,,,,
9494005,Gabriel Gómez,Gabriel,Gómez,,1959-12-08,26,Colombia,MED,9400026,Otros-Colombia,,,76,fixed_source_comparable_review_0.23,False,,,,,,created_after_global_existing_player_comparison,,,,https://www.bdfutbol.com/es/c/jugador.html?id=179923,Gabriel Gómez,bundled_normalized_bdfutbol,world_cup_1994,Fjelstul World Cup Database,,,created_player_profile_audit_0.23,high,COL,6,9494005.jpg,,,,,,,,,,,,,,,,,,
